Term,Pronunciation,Context / Example Usage,Notes,Tags
metatheory,,,,Common-term
modalities,,,,Common-term
Nakano,,,,unclassified
optimisation,,,,unclassified
output-end,,,,unclassified
output-skip,,,,unclassified
pattern matching,,,,
Ploeg,,,,unclassified
Pnueli,,,,unclassified
Pouzet,,,,unclassified
quantified,,,,Common-term
Ranald,,,,unclassified
run-time,,,,unclassified
Semantic,,,,Common-term
SIGPLAN-SIGACT,,,,unclassified
suc+1,,,,unclassified
time-varying,,,,unclassified
Trigger,,,,
two-heap,,,,unclassified
waitsample,,,,unclassified
waitup,,,,unclassified
11th,,,,unclassified
14th,,,,unclassified
1a,,,,unclassified
1b,,,,unclassified
2032-00134B,,,,unclassified
20th,,,,unclassified
2475-1421/2023/8-ART205,,,,unclassified
26th,,,,unclassified
39th,,,,unclassified
41st,,,,unclassified
ACM/IEEE,,,,unclassified
adv(wait,,,,unclassified
allocations,,,,Common-term
applicative,,,,Common-term
applicative functor,,,,
async/await,,,,
asynchronicity,,,,unclassified
Atze,,,,unclassified
axiom,,,,
Baier,,,,unclassified
Bassel,,,,unclassified
big-step,,,,unclassified
Birkedal,,,,unclassified
box(read,,,,unclassified
box(wait,,,,unclassified
categorical semantics,,,,
Claessen,,,,unclassified
closures,,,,Common-term
comultiplication,,,,unclassified
Conal Elliott,,,,Author
conclusion,,,,
concurrency,,,,Common-term
counit,,,,unclassified
CSL-LICS,,,,unclassified
Curry-Howard correspondence,,,,Common-term
decomposition,,,,
delaycl,,,,unclassified
delaycl(tick,,,,unclassified
delaycl(wait,,,,unclassified
delaycl(xs,,,,unclassified
denotational semantics,,,,semantics
derive,,,,
Dmitrij,,,,unclassified
doi.org/10.1109/LICS.2011.38,,,,unclassified
dt.der,,,,unclassified
dt.integral,,,,unclassified
e15,,,,unclassified
EACSL,,,,unclassified
Expr,,,,unclassified
expressiveness,,,,Common-term
filter,,,,
FoSSaCS,,,,unclassified
Frank Pfenning,Frank “Fenning”,,,Author
GUIs,,,,unclassified
Halbwachs,,,,unclassified
https://doi.org/10.1145,,,,unclassified
inducTo,,,,unclassified
initialises,,,,unclassified
internalise,,,,unclassified
Ivan Perez,,,,Author
J*K,,,,unclassified
J1K,,,,unclassified
J2,,,,unclassified
judgement,,dependent types,,theory
KeyCode,,,,unclassified
Krishnaswami's,,,,unclassified
lambda calculi,,,,Common-term
Lars Birkedal,,,,Author
let-binding,,,,unclassified
LICS,,,,unclassified
linear types,,,,Common-term
LRI,,,,unclassified
Mannaa,,,,unclassified
Maybe(Char,,,,unclassified
mogel@itu.dk,,,,email
monadic,Mow-nad-ick,,,
monotonicity,,Mathematical property,,Common-term
mouseClick,,,,unclassified
MuliLisp,,,,unclassified
multiLisp,,,,
Neel Krishnaswami,,,,Author
Nikhil,,,,unclassified
No.99CB36332,,,,unclassified
non-causal,,,,unclassified
non-deterministic,,,,unclassified
non-empty,,,,unclassified
non-standard,,,,unclassified
non-zero,,,,unclassified
owner/author(s,,,,unclassified
paba@itu.dk,,,,email
Panangaden,,,,unclassified
parameterised,,,,unclassified
Paris-Sud,,,,unclassified
Peterson,,,,
Pfenning,,,,unclassified
Pientka,,,,unclassified
Pilaud,,,,unclassified
PLPV,,,,unclassified
pointer,,,,Common-term
Proof-carrying,,,,unclassified
readFile,,,,unclassified
readsample,,,,unclassified
s.t,,,,unclassified
SFCS,,,,unclassified
SIGACT-SIGPLAN,,,,unclassified
single-heap,,,,unclassified
step-indexing,,,,unclassified
subclocks,,,,unclassified
suc(suc,,,,unclassified
Swamy,,,,
symbolic,,,,
synchronises,,,,unclassified
syntactic,,,,Common-term
Szamozvancev,,,,unclassified
thunk,,,,Common-term evaluation
time-leaks,,,,unclassified
transitioning,,,,unclassified
Ugo Dal Lago,,,,Author
Ultrametric,,,,unclassified
unfoldings,,,,unclassified
value(s,,,,unclassified
Winskel,,,,unclassified
