Term,Pronunciation,Context / Example Usage,Notes,Tags
customisation,,,,unclassified
customise,,,,unclassified
discrete-time,,,,unclassified
dual-context-style,,,,unclassified
EACSL,,,,unclassified
FSCD,,,,unclassified
Funct,,,,unclassified
GADTs,,,,unclassified
Grathwohl,,,,unclassified
Halbwachs,,,,unclassified
Heaps.v,,,,unclassified
Hudak's,,,,unclassified
ill-typed,,,,unclassified
initialises,,,,unclassified
input-output,,,,unclassified
JFP,,,,unclassified
Library-Centric,,,,unclassified
LRI,,,,unclassified
McCusker,,,,unclassified
mechanisation,,,,unclassified
mechanise,,,,unclassified
Multi-tick,,,,unclassified
Nakano's,,,,unclassified
non-causal,,,,unclassified
non-stable,,,,unclassified
OOPSLA'06,,,,unclassified
Panangaden,,,,unclassified
ParisSud,,,,unclassified
Pientka,,,,unclassified
Pilaud,,,,unclassified
PLPV,,,,unclassified
plugin's,,,,unclassified
Productivity.v,,,,unclassified
proofcarrying,,,,unclassified
RaTT's,,,,unclassified
Rattus.Stream,,,,unclassified
Rattus.ToHaskell,,,,unclassified
RawSyntax.v,,,,unclassified
re-implement,,,,unclassified
re-implementation,,,,unclassified
README,,,,unclassified
real-world,,,,unclassified
realtime,,,,unclassified
Reduction.v,,,,unclassified
refactored,,,,unclassified
refactoring,,,,unclassified
removeBall,,,,unclassified
resource-constrained,,,,unclassified
runTransducer,,,,unclassified
Schwinghammer,,,,unclassified
scrutinee,,,,unclassified
SIGACT-SIGPLAN,,,,unclassified
single-player,,,,unclassified
single-tick,,,,unclassified
soundness/completeness,,,,unclassified
StableInternal,,,,unclassified
Stovring,,,,unclassified
Streams.v,,,,unclassified
StrNat,,,,unclassified
Substitutions.v,,,,unclassified
subterms,,,,unclassified
Technische,,,,unclassified
time-dependent,,,,unclassified
token-free,,,,unclassified
trade-offs,,,,unclassified
triggerMap,,,,unclassified
tupling,,,,unclassified
TwentyThird,,,,unclassified
type-preserving,,,,unclassified
typings,,,,unclassified
Ultrametric,,,,unclassified
VectorSpace,,,,unclassified
zero-tick,,,,unclassified
